상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
96,"돌곶이, 상월곡, 월곡",서울,9.8,4.0,0
221,중앙보훈병원,서울,9.4,3.0,0
15,"병점, 서동탄, 세마, 오산, 오산대",경기,9.4,3.0,0
48,"삼송, 지축, 구파발",경기,9.2,3.0,0
129,"둔촌오륜, 올림픽공원",서울,9.2,3.0,0
167,연천,경기,8.4,4.0,0
39,"고진, 김량장, 명지대, 삼가, 시청·용인대, 용인중앙시장",경기,7.6,3.0,0
152,금곡,경기,7.4,3.0,0
8,"동두천, 동두천중앙, 보산, 소요산, 지행",경기,7.2,2.0,0
31,"고색, 오목천",경기,6.6,2.0,0
3,"오남, 진접",경기,6.2,3.0,0
210,암사역사공원,서울,6.0,3.0,0
187,남태령,서울,5.0,1.0,0
158,사릉,경기,5.0,1.0,0
164,신현,경기,4.4,2.0,0
40,"둔전, 보평",경기,4.2,2.0,0
159,산성,경기,4.2,2.0,0
160,상갈,경기,4.2,2.0,0
34,"강매, 능곡, 대곡, 행신",경기,4.0,2.0,0
33,"야당, 운정",경기,3.8,2.0,0
173,팔당,경기,3.2,1.0,0
166,양주,경기,3.2,1.0,0
7,"덕계, 덕정",경기,3.2,1.0,0
163,신둔도예촌,경기,3.2,1.0,0
216,응봉,서울,2.2,1.0,0
23,"시흥능곡, 시흥시청",경기,2.2,1.0,0
193,버티고개,서울,2.2,1.0,0
22,"고잔, 능길, 달미, 사리, 상록수, 선부, 시우, 안산, 원시, 중앙, 초지, 한대앞",경기,2.0,1.0,0
6,"양수, 운길산",경기,0.0,0.0,0
24,"오이도, 정왕",경기,0.0,0.0,0
32,"대야미, 반월",경기,0.0,0.0,0
35,"관악, 광명, 석수",경기,0.0,0.0,0
53,"경마공원, 과천, 대공원, 선바위, 정부과천청사",경기,0.0,0.0,0
2,"부발, 이천",경기,0.0,0.0,0
0,"세종대왕릉, 여주",경기,0.0,0.0,0
1,"가평, 상천, 청평",경기,0.0,0.0,0
17,"월롱, 파주",경기,0.0,0.0,0
9,"전곡, 청산",경기,0.0,0.0,0
10,"국수, 신원",경기,0.0,0.0,0
11,"아신, 양평, 오빈",경기,0.0,0.0,0
5,"용문, 원덕, 지평",경기,0.0,0.0,0
14,"야목, 어천",경기,0.0,0.0,0
12,"문산, 운천, 임진강",경기,0.0,0.0,0
4,"경기광주, 곤지암, 삼동, 초월",경기,0.0,0.0,0
155,대성리,경기,0.0,0.0,0
113,"구반포, 동작",서울,0.0,0.0,0
176,한국항공대,경기,0.0,0.0,0
198,서빙고,서울,0.0,0.0,0
