역명,지역명,상권_ID,클러스터
을지로4가,서울,8830e1d88bfffff,0
"을지로3가, 충무로",서울,8830e1d889fffff,0
동대입구,서울,8830e1d883fffff,3
합정,서울,8830e1d86dfffff,0
광흥창,서울,8830e1d863fffff,0
상수,서울,8830e1d861fffff,0
가좌,서울,8830e1d84dfffff,0
홍대입구,서울,8830e1d847fffff,0
공덕,서울,8830e1d83dfffff,0
효창공원앞,서울,8830e1d837fffff,2
마포,서울,8830e1d82bfffff,0
여의나루,서울,8830e1d825fffff,3
서대문,서울,8830e1d81bfffff,0
"아현, 애오개",서울,8830e1d815fffff,0
충정로,서울,8830e1d811fffff,0
청담,서울,8830e1ca11fffff,3
서강대,서울,8830e1d80dfffff,0
대흥,서울,8830e1d807fffff,0
이대,서울,8830e1d803fffff,0
신금호,서울,8830e1d897fffff,0
연신내,서울,8830e1da53fffff,0
동대문,서울,8830e1d899fffff,2
동대문역사문화공원,서울,8830e1d89dfffff,0
"남영, 숙대입구",서울,8830e1d8e5fffff,0
혜화,서울,8830e1d8dbfffff,3
종로5가,서울,8830e1d8d7fffff,0
종로3가,서울,8830e1d8d5fffff,0
안국,서울,8830e1d8cbfffff,0
경복궁,서울,8830e1d8c9fffff,0
"명동, 을지로입구",서울,8830e1d8c7fffff,3
시청,서울,8830e1d8c5fffff,3
종각,서울,8830e1d8c3fffff,3
광화문,서울,8830e1d8c1fffff,3
버티고개,서울,8830e1d8bdfffff,2
금호,서울,8830e1d8bbfffff,0
약수,서울,8830e1d8b9fffff,0
선유도,서울,8830e1db3dfffff,2
월드컵경기장,서울,8830e1db53fffff,0
옥수,서울,8830e1d8b7fffff,3
염창,서울,8830e1db63fffff,0
등촌,서울,8830e1db69fffff,0
녹사평,서울,8830e1d8adfffff,0
한강진,서울,8830e1d8a3fffff,0
이태원,서울,8830e1d8a1fffff,0
동묘앞,서울,8830e1d89bfffff,2
논현,서울,8830e1ca0dfffff,0
신정네거리,서울,8830e0accbfffff,0
신논현,서울,8830e1ca05fffff,0
공항시장,서울,8830e0aec9fffff,0
신방화,서울,8830e0aecbfffff,2
양천향교,서울,8830e0aed3fffff,2
발산,서울,8830e0aed7fffff,0
마곡나루,서울,8830e0aeddfffff,0
신이문,서울,8830e1c005fffff,2
중화,서울,8830e1c007fffff,2
석계,서울,8830e1c009fffff,0
먹골,서울,8830e1c00bfffff,0
봉화산,서울,8830e1c011fffff,2
신내,서울,8830e1c013fffff,2
중랑,서울,8830e1c02bfffff,0
면목,서울,8830e1c035fffff,2
망우,서울,8830e1c03bfffff,0
상봉,서울,8830e1c03dfffff,0
돌곶이,서울,8830e1c045fffff,2
광운대,서울,8830e1c04bfffff,0
공릉,서울,8830e1c051fffff,0
태릉입구,서울,8830e1c055fffff,0
화랑대,서울,8830e1c057fffff,2
외대앞,서울,8830e1c063fffff,0
상월곡,서울,8830e1c069fffff,2
양원,서울,8830e1c0e9fffff,0
용답,서울,8830e1c101fffff,0
신답,서울,8830e1c109fffff,2
답십리,서울,8830e1c10bfffff,0
한양대,서울,8830e1c10dfffff,0
장한평,서울,8830e1c115fffff,2
"뚝섬, 서울숲",서울,8830e1c129fffff,2
